username,repo,stars,url
serverless,serverless,42102,https://github.com/serverless/serverless
localstack,localstack,38644,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,22434,https://github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,21223,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12446,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,12006,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,11842,https://github.com/kubernetes-sigs/kubespray
pulumi,pulumi,11394,https://github.com/pulumi/pulumi
donnemartin,awesome-aws,10086,https://github.com/donnemartin/awesome-aws
apereo,cas,9246,https://github.com/apereo/cas
mozilla,sops,9112,https://github.com/mozilla/sops
aws,chalice,8665,https://github.com/aws/chalice
aws-amplify,amplify-js,8593,https://github.com/aws-amplify/amplify-js
apex,up,8478,https://github.com/apex/up
aws,serverless-application-model,8388,https://github.com/aws/serverless-application-model
aws,aws-cdk,8239,https://github.com/aws/aws-cdk
google,go-cloud,8224,https://github.com/google/go-cloud
caprover,caprover,8141,https://github.com/caprover/caprover
angristan,openvpn-install,7428,https://github.com/angristan/openvpn-install
aws,aws-sdk-go,7372,https://github.com/aws/aws-sdk-go
boto,boto3,7010,https://github.com/boto/boto3
aws,aws-sdk-js,6931,https://github.com/aws/aws-sdk-js
hashicorp,terraform-provider-aws,6867,https://github.com/hashicorp/terraform-provider-aws
GoogleCloudPlatform,terraformer,6739,https://github.com/GoogleCloudPlatform/terraformer
aws,amazon-sagemaker-examples,6518,https://github.com/aws/amazon-sagemaker-examples
awslabs,aws-shell,6431,https://github.com/awslabs/aws-shell
gruntwork-io,terratest,5897,https://github.com/gruntwork-io/terratest
aws,aws-sam-cli,5863,https://github.com/aws/aws-sam-cli
99designs,aws-vault,5832,https://github.com/99designs/aws-vault
donnemartin,dev-setup,5638,https://github.com/donnemartin/dev-setup
